x        y        hdg      vel      acc      steer    lat_err  lng_err  hdg_err  
63.00    0.000    0.000    3.000    2.000    -0.000   0.000    37.30    0.000    
63.30    0.000    0.000    3.000    2.000    -0.000   0.000    37.00    0.000    
63.60    0.000    0.000    3.000    2.000    -0.000   0.000    36.70    0.000    
63.90    0.000    0.000    3.000    2.000    -0.000   0.000    36.40    0.000    
64.20    0.000    0.000    3.000    2.000    -0.000   0.000    36.10    0.000    
64.50    0.000    0.000    3.000    2.000    -0.000   0.000    35.80    0.000    
64.80    0.000    0.000    3.000    2.000    -0.000   0.000    35.50    0.000    
65.10    0.000    0.000    3.000    2.000    -0.000   0.000    35.20    0.000    
65.40    0.000    0.000    3.000    2.000    -0.000   0.000    34.90    0.000    
65.70    0.000    0.000    3.000    2.000    -0.000   0.000    34.60    0.000    
66.00    0.000    0.000    3.000    2.000    -0.000   0.000    34.30    0.000    
66.30    0.000    0.000    3.000    2.000    -0.000   0.000    34.00    0.000    
66.60    0.000    0.000    3.000    2.000    -0.000   0.000    33.70    0.000    
66.90    0.000    0.000    3.000    2.000    -0.000   0.000    33.40    0.000    
67.20    0.000    0.000    3.000    2.000    -0.000   0.000    33.10    0.000    
67.50    0.000    0.000    3.000    2.000    -0.000   0.000    32.80    0.000    
67.80    0.000    0.000    3.000    2.000    -0.000   0.000    32.50    0.000    
68.10    0.000    0.000    3.000    2.000    -0.000   0.000    32.20    0.000    
68.40    0.000    0.000    3.000    2.000    -0.000   0.000    31.90    0.000    
68.70    0.000    0.000    3.000    2.000    -0.000   0.000    31.60    0.000    
69.00    0.000    0.000    3.000    2.000    -0.000   0.000    31.30    0.000    
69.30    0.000    0.000    3.000    2.000    -0.000   0.000    31.00    0.000    
69.60    0.000    0.000    3.000    2.000    -0.000   0.000    30.70    0.000    
69.90    0.000    0.000    3.000    2.000    -0.000   0.000    30.40    0.000    
70.20    0.000    0.000    3.000    2.000    -0.000   0.000    30.10    0.000    
70.50    0.000    0.000    3.000    2.000    -0.000   0.000    29.80    0.000    
